205,-25,37,-15,20,9,-15,2,4,-28,-12,-37,-14,-27,-27,-18,-18,-24,-30,-16
-25,224,-18,16,-33,-14,35,-30,-18,39,20,9,-7,17,40,56,144,69,34,21
37,-18,216,-30,15,-6,-38,-14,-5,-29,-22,-31,-12,-19,-18,-6,-20,4,-30,6
-15,16,-30,201,-28,-5,31,-26,-28,55,-4,-10,-16,3,57,22,8,25,53,19
20,-33,15,-28,216,74,-25,59,20,-39,-19,-27,-9,-12,-32,-34,-34,-18,-32,-15
9,-14,-6,-5,74,204,1,67,34,5,-25,-26,-27,-20,1,-14,-8,-11,-8,-18
-15,35,-38,31,-25,1,215,-17,-15,40,-23,-11,-15,11,43,17,24,21,27,17
2,-30,-14,-26,59,67,-17,221,20,-9,-17,-22,-14,-21,-14,-21,-15,-25,-2,-23
4,-18,-5,-28,20,34,-15,20,222,-20,-24,-38,-17,-24,-9,4,-9,-8,-26,-14
-28,39,-29,55,-39,5,40,-9,-20,217,-4,19,-9,-1,148,27,31,28,101,12
-12,20,-22,-4,-19,-25,-23,-17,-24,-4,214,81,33,13,1,2,20,14,-13,-6
-37,9,-31,-10,-27,-26,-11,-22,-38,19,81,227,24,12,9,21,-1,29,0,3
-14,-7,-12,-16,-9,-27,-15,-14,-17,-9,33,24,210,-5,-8,-3,7,-14,-6,6
-27,17,-19,3,-12,-20,11,-21,-24,-1,13,12,-5,219,-4,-6,10,-9,6,98
-27,40,-18,57,-32,1,43,-14,-9,148,1,9,-8,-4,214,40,28,34,86,13
-18,56,-6,22,-34,-14,17,-21,4,27,2,21,-3,-6,40,218,49,149,26,-4
-18,144,-20,8,-34,-8,24,-15,-9,31,20,-1,7,10,28,49,209,52,24,17
-24,69,4,25,-18,-11,21,-25,-8,28,14,29,-14,-9,34,149,52,213,20,2
-30,34,-30,53,-32,-8,27,-2,-26,101,-13,0,-6,6,86,26,24,20,204,16
-16,21,6,19,-15,-18,17,-23,-14,12,-6,3,6,98,13,-4,17,2,16,211
